epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.7547,1.39462,2.27763,2.4415,1.41249,0.40232,0.42334,0.31789,0.10056,0.16142,0.20906,0.08012,0.01489,2.28121,2.55653,3.30269,2.59679,0.000552359,0.000552359,0.000552359
2,172.524,1.47352,1.92505,1.92435,1.43905,0.40564,0.35646,0.31415,0.12132,0.25908,0.26884,0.18998,0.05401,2.07412,2.35765,2.3657,2.23102,0.00108609,0.00108609,0.00108609
3,255.432,1.53589,2.01141,1.82321,1.47843,0.30578,0.45952,0.28133,0.09228,0.32329,0.34895,0.24595,0.05661,2.09326,1.96043,2.36377,2.20714,0.00159781,0.00159781,0.00159781
4,338.543,1.46298,1.96196,1.71637,1.44293,0.32172,0.42802,0.24636,0.08159,0.32717,0.36296,0.23092,0.07311,1.93549,2.13019,2.52595,2.03069,0.00156798,0.00156798,0.00156798
5,421.182,1.4113,1.94689,1.62151,1.39893,0.40444,0.57061,0.40124,0.16143,0.47487,0.52823,0.42908,0.15388,1.79904,1.84466,2.01991,1.84186,0.00153497,0.00153497,0.00153497
6,504.07,1.37942,1.92556,1.57021,1.3826,0.45645,0.52551,0.38003,0.14914,0.49378,0.5128,0.44741,0.14932,1.84203,1.59519,2.03104,1.89596,0.00150197,0.00150197,0.00150197
7,586.65,1.32416,1.87862,1.49132,1.35643,0.51163,0.61311,0.57062,0.31515,0.51777,0.54372,0.50604,0.25322,1.59869,1.70494,1.85313,1.69569,0.00146896,0.00146896,0.00146896
8,668.746,1.28388,1.80319,1.44022,1.33343,0.55078,0.58905,0.55432,0.30292,0.52198,0.55427,0.51043,0.26751,1.65776,1.61996,1.78009,1.75293,0.00143595,0.00143595,0.00143595
9,750.954,1.27763,1.84657,1.4141,1.32626,0.61126,0.56512,0.56077,0.29322,0.58394,0.55675,0.53106,0.29819,1.6643,1.56592,1.82487,1.68019,0.00140295,0.00140295,0.00140295
10,833.863,1.23692,1.80121,1.37623,1.30853,0.68976,0.60355,0.61954,0.36946,0.6582,0.55981,0.56216,0.30563,1.51992,1.50288,1.67246,1.65495,0.00136994,0.00136994,0.00136994
11,914.745,1.22261,1.75588,1.36956,1.30291,0.69873,0.57224,0.61396,0.35755,0.66451,0.53685,0.56501,0.3044,1.44713,1.56479,1.64499,1.55673,0.00133693,0.00133693,0.00133693
12,994.578,1.19807,1.74488,1.32685,1.27992,0.63793,0.63738,0.62829,0.38656,0.60811,0.60444,0.57186,0.28283,1.50078,1.54766,1.61875,1.57599,0.00130393,0.00130393,0.00130393
13,1077.25,1.2003,1.76967,1.34638,1.28869,0.65013,0.58621,0.58607,0.32865,0.63053,0.56607,0.54285,0.27154,1.54612,1.49371,1.71078,1.62311,0.00127092,0.00127092,0.00127092
14,1159.13,1.19734,1.74193,1.32031,1.28156,0.79779,0.59641,0.67096,0.42588,0.78716,0.56667,0.62741,0.36428,1.45597,1.50255,1.61086,1.56653,0.00123791,0.00123791,0.00123791
15,1242.1,1.16336,1.71763,1.28376,1.26684,0.71144,0.64131,0.67155,0.41492,0.69784,0.64409,0.64242,0.344,1.4331,1.45693,1.5353,1.51131,0.00120491,0.00120491,0.00120491
